
date, value 
2020-01-27T00:00:00.000Z, 860150 
2020-01-26T00:00:00.000Z, 832655 
2020-01-25T00:00:00.000Z, 843065 
2020-01-24T00:00:00.000Z, 838809 
2020-01-23T00:00:00.000Z, 865988 
2020-01-22T00:00:00.000Z, 872679 
2020-01-21T00:00:00.000Z, 862832 
2020-01-20T00:00:00.000Z, 870501 
2020-01-19T00:00:00.000Z, 890517 
2020-01-18T00:00:00.000Z, 889158 
2020-01-17T00:00:00.000Z, 872069 
2020-01-16T00:00:00.000Z, 882057 
2020-01-15T00:00:00.000Z, 879836 
2020-01-14T00:00:00.000Z, 810966 
2020-01-13T00:00:00.000Z, 817541 
2020-01-12T00:00:00.000Z, 800735 
2020-01-11T00:00:00.000Z, 818279 
2020-01-10T00:00:00.000Z, 781962 
2020-01-09T00:00:00.000Z, 802986 
2020-01-08T00:00:00.000Z, 818375 
2020-01-07T00:00:00.000Z, 777552 
2020-01-06T00:00:00.000Z, 735312 
2020-01-05T00:00:00.000Z, 735552 
2020-01-04T00:00:00.000Z, 733659 
2020-01-03T00:00:00.000Z, 694895 
2020-01-02T00:00:00.000Z, 717819 
2020-01-01T00:00:00.000Z, 717048 
2019-12-31T00:00:00.000Z, 721449 
2019-12-30T00:00:00.000Z, 738531 
2019-12-29T00:00:00.000Z, 730290 
2019-12-28T00:00:00.000Z, 724832 
2019-12-27T00:00:00.000Z, 719656 
2019-12-26T00:00:00.000Z, 719911 
2019-12-25T00:00:00.000Z, 725718 
2019-12-24T00:00:00.000Z, 731931 
2019-12-23T00:00:00.000Z, 753419 
2019-12-22T00:00:00.000Z, 714434 
2019-12-21T00:00:00.000Z, 719250 
2019-12-20T00:00:00.000Z, 715530 
2019-12-19T00:00:00.000Z, 730403 
2020-03-19T00:00:00.000Z, 542566 
